date,region,retail_sales,flight_bookings,hotel_prices,festival_uplift
2020-01-01,North,1693.49,200.2,400.43,0.0
2020-01-02,North,1765.71,198.97,393.96,0.0
2020-01-03,North,1764.41,185.16,358.86,0.0
2020-01-04,North,1801.67,186.15,353.61,0.0
2020-01-05,North,1722.79,199.93,402.22,0.0
2020-01-06,North,1726.26,201.06,373.92,0.0
2020-01-07,North,1724.64,181.66,403.36,0.0
2020-01-08,North,1707.69,197.49,356.41,0.0
2020-01-09,North,1623.96,185.68,424.51,0.0
2020-01-10,North,1802.79,200.4,387.73,0.0
2020-01-11,North,1796.78,180.46,373.51,0.0
2020-01-12,North,1680.45,188.31,364.54,0.0
2020-01-13,North,1735.93,204.74,415.0,0.0
2020-01-14,North,1720.89,180.77,430.63,0.0
2020-01-15,North,1723.53,187.99,392.91,0.0
2020-01-16,North,1652.4,187.85,370.83,0.0
2020-01-17,North,1728.6,188.99,356.72,0.0
2020-01-18,North,1790.64,189.06,390.93,0.0
2020-01-19,North,1889.41,194.9,362.0,0.0
2020-01-20,North,1781.83,177.74,396.46,0.0
2020-01-21,North,1768.91,180.8,388.41,0.0
2020-01-22,North,1737.71,204.88,367.57,0.0
2020-01-23,North,1734.15,183.96,412.03,0.0
2020-01-24,North,1812.21,174.36,388.69,0.0
2020-01-25,North,1780.07,215.95,398.63,0.0
2020-01-26,North,1734.42,201.6,383.84,0.0
2020-01-27,North,1715.8,179.85,362.31,0.0
2020-01-28,North,1759.47,195.02,398.12,0.0
2020-01-29,North,1741.55,210.3,385.56,0.0
2020-01-30,North,1768.63,195.41,390.31,0.0
2020-01-31,North,1758.11,180.88,397.9,0.0
2020-02-01,North,1789.72,203.07,405.59,0.0
2020-02-02,North,1707.67,185.35,447.12,0.0
2020-02-03,North,1826.2,189.91,416.68,0.0
2020-02-04,North,1911.18,189.24,416.11,0.0
2020-02-05,North,1832.62,190.56,390.09,0.0
2020-02-06,North,1784.53,202.64,431.94,0.0
2020-02-07,North,1818.36,190.19,384.6,0.0
2020-02-08,North,1724.48,185.14,374.91,0.0
2020-02-09,North,1696.43,185.77,382.09,0.0
2020-02-10,North,1814.95,201.17,403.1,0.0
2020-02-11,North,1750.02,199.76,406.74,0.0
2020-02-12,North,1710.25,204.43,377.46,0.0
2020-02-13,North,1734.21,194.73,359.99,0.0
2020-02-14,North,1722.37,176.28,394.93,0.0
2020-02-15,North,1786.28,191.26,393.4,0.0
2020-02-16,North,1809.32,198.69,421.9,0.0
2020-02-17,North,1825.25,192.64,389.57,0.0
2020-02-18,North,1826.23,185.51,410.26,0.0
2020-02-19,North,1819.92,186.31,387.23,0.0
2020-02-20,North,1772.46,198.94,394.38,0.0
2020-02-21,North,1752.29,192.84,375.7,0.0
2020-02-22,North,1708.7,195.96,436.55,0.0
2020-02-23,North,1839.73,179.7,370.69,0.0
2020-02-24,North,1776.51,200.43,397.53,0.0
2020-02-25,North,1765.51,206.3,378.02,0.0
2020-02-26,North,1845.66,201.51,399.5,0.0
2020-02-27,North,1742.4,183.13,380.27,0.0
2020-02-28,North,1829.68,192.76,375.63,0.0
2020-02-29,North,1803.41,203.86,407.37,0.0
2020-03-01,North,1737.32,187.73,389.61,0.0
2020-03-02,North,1786.05,202.06,391.49,0.0
2020-03-03,North,1839.11,212.42,403.24,0.0
2020-03-04,North,1830.87,184.44,371.69,0.0
2020-03-05,North,1866.49,203.19,384.04,0.0
2020-03-06,North,1809.24,194.0,336.15,0.0
2020-03-07,North,1961.57,192.78,364.71,0.0
2020-03-08,North,1747.55,178.44,417.5,0.0
2020-03-09,North,1774.26,189.41,385.39,0.0
2020-03-10,North,1791.76,213.65,412.22,0.0
2020-03-11,North,1724.47,208.63,418.29,0.0
2020-03-12,North,1848.15,200.71,423.76,0.0
2020-03-13,North,1841.8,184.99,375.23,0.0
2020-03-14,North,1798.18,178.48,357.92,0.0
2020-03-15,North,1771.11,193.8,362.29,0.0
2020-03-16,North,1723.68,181.27,388.44,0.0
2020-03-17,North,1759.57,166.22,391.25,0.0
2020-03-18,North,1836.81,192.76,433.16,0.0
2020-03-19,North,1789.61,194.77,395.21,0.0
2020-03-20,North,1779.46,208.08,388.04,0.0
2020-03-21,North,1826.47,194.53,412.41,0.0
2020-03-22,North,1859.89,185.18,412.57,0.0
2020-03-23,North,1815.42,179.09,406.2,0.0
2020-03-24,North,1818.87,199.38,384.88,0.0
2020-03-25,North,1872.32,190.81,426.23,0.0
2020-03-26,North,1813.07,191.53,403.54,0.0
2020-03-27,North,1789.41,193.12,379.55,0.0
2020-03-28,North,1839.1,186.63,400.66,0.0
2020-03-29,North,1793.17,206.74,366.84,0.0
2020-03-30,North,1788.18,208.39,405.57,0.0
2020-03-31,North,1870.82,190.24,399.4,0.0
2020-04-01,North,1793.09,198.81,371.02,0.0
2020-04-02,North,1675.49,191.05,392.87,0.0
2020-04-03,North,1826.08,176.34,409.63,0.0
2020-04-04,North,1789.58,186.43,381.52,0.0
2020-04-05,North,1795.44,191.78,401.75,0.0
2020-04-06,North,1833.09,196.32,393.76,0.0
2020-04-07,North,1802.68,195.93,378.46,0.0
2020-04-08,North,1822.27,194.18,403.77,0.0
2020-04-09,North,1710.95,186.8,393.33,0.0
2020-04-10,North,1765.44,198.33,391.1,0.0
2020-04-11,North,1883.32,180.17,420.65,0.0
2020-04-12,North,1812.72,204.36,392.67,0.0
2020-04-13,North,1730.5,208.23,405.17,0.0
2020-04-14,North,1761.07,190.53,378.88,0.0
2020-04-15,North,1765.58,181.77,389.72,0.0
2020-04-16,North,1820.85,183.88,376.87,0.0
2020-04-17,North,1794.61,196.0,365.92,0.0
2020-04-18,North,1783.79,176.57,394.81,0.0
2020-04-19,North,1817.45,198.48,400.93,0.0
2020-04-20,North,1841.64,176.81,378.6,0.0
2020-04-21,North,1805.3,186.63,362.27,0.0
2020-04-22,North,1790.01,192.93,397.08,0.0
2020-04-23,North,1798.17,190.71,361.99,0.0
2020-04-24,North,1836.72,212.44,376.7,0.0
2020-04-25,North,1819.85,202.19,421.02,0.0
2020-04-26,North,1859.06,188.55,400.98,0.0
2020-04-27,North,1763.69,179.35,385.47,0.0
2020-04-28,North,1782.88,197.05,393.02,0.0
2020-04-29,North,1860.78,199.7,383.23,0.0
2020-04-30,North,1782.5,202.18,373.75,0.0
2020-05-01,North,1892.26,196.83,381.34,0.0
2020-05-02,North,1893.78,175.94,406.6,0.0
2020-05-03,North,1893.59,167.02,378.17,0.0
2020-05-04,North,1780.4,182.38,417.15,0.0
2020-05-05,North,1828.72,200.81,371.55,0.0
2020-05-06,North,1800.66,180.62,383.59,0.0
2020-05-07,North,1871.93,181.25,421.99,0.0
2020-05-08,North,1911.54,175.41,428.84,0.0
2020-05-09,North,1870.33,196.44,404.17,0.0
2020-05-10,North,1827.54,193.66,361.03,0.0
2020-05-11,North,1809.23,200.54,393.46,0.0
2020-05-12,North,1860.39,183.05,414.44,0.0
2020-05-13,North,1767.21,202.56,414.55,0.0
2020-05-14,North,1855.59,201.85,382.08,0.0
2020-05-15,North,1783.45,198.01,413.96,0.0
2020-05-16,North,1860.62,201.98,344.97,0.0
2020-05-17,North,1821.96,191.86,378.55,0.0
2020-05-18,North,1810.99,207.05,391.59,0.0
2020-05-19,North,1786.53,197.16,396.66,0.0
2020-05-20,North,1813.36,205.8,429.18,0.0
2020-05-21,North,2096.63,209.08,446.36,0.128
2020-05-22,North,2100.48,228.96,422.9,0.115
2020-05-23,North,2146.75,207.61,435.72,0.155
2020-05-24,North,2178.21,221.22,429.94,0.146
2020-05-25,North,2195.45,214.85,459.0,0.12
2020-05-26,North,2112.12,198.56,426.53,0.162
2020-05-27,North,2109.87,199.47,460.0,0.157
2020-05-28,North,1762.21,191.07,385.6,0.0
2020-05-29,North,1894.11,179.35,373.52,0.0
2020-05-30,North,1899.9,183.04,393.45,0.0
2020-05-31,North,1791.92,185.02,388.19,0.0
2020-06-01,North,1866.51,183.36,355.87,0.0
2020-06-02,North,1896.82,183.31,391.13,0.0
2020-06-03,North,1847.62,178.11,396.94,0.0
2020-06-04,North,1879.01,193.3,381.86,0.0
2020-06-05,North,1845.71,189.89,366.81,0.0
2020-06-06,North,1776.45,200.9,409.03,0.0
2020-06-07,North,1890.09,181.12,370.35,0.0
2020-06-08,North,1904.19,183.43,403.83,0.0
2020-06-09,North,1874.98,196.01,413.74,0.0
